City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
179,ha tinh,79,VN,1586914652,71,18.33,105.9,75.87,2.1
180,haines junction,73,CA,1586914660,63,60.75,-137.51,37.38,4.5
181,hambantota,20,LK,1586914707,100,6.12,81.12,77.0,2.24
182,hamilton,20,US,1586914639,35,39.18,-84.53,41.0,8.05
183,harper,76,LR,1586914720,83,4.38,-7.72,80.44,4.65
184,havoysund,94,NO,1586914674,88,71.0,24.66,32.0,17.22
185,henties bay,0,NA,1586914688,92,-22.12,14.28,55.99,1.99
186,hermanus,86,ZA,1586914513,93,-34.42,19.23,57.99,4.32
187,hervey bay,40,AU,1586914706,51,-25.3,152.85,80.6,13.87
188,hilo,40,US,1586914448,61,19.73,-155.09,80.6,12.75
189,hithadhoo,50,MV,1586914686,65,-0.6,73.08,84.79,2.35
190,hobart,75,AU,1586914423,87,-42.88,147.33,61.0,3.36
191,hofn,97,IS,1586914670,76,64.25,-15.21,36.97,15.12
192,hualmay,2,PE,1586914714,76,-11.1,-77.61,71.82,5.99
193,husavik,40,IS,1586914676,51,66.04,-17.34,39.2,23.04
194,ikalamavony,57,MG,1586914692,64,-21.15,46.58,61.65,5.3
195,ilulissat,100,GL,1586914656,79,69.22,-51.1,24.8,2.24
196,imbituba,0,BR,1586914716,64,-28.24,-48.67,71.6,4.7
197,innisfail,75,AU,1586914715,73,-17.53,146.03,77.0,8.99
198,inongo,99,CD,1586914715,80,-1.95,18.27,74.39,1.7
199,iqaluit,75,CA,1586914673,66,63.75,-68.51,14.0,10.29
200,iranshahr,18,IR,1586914684,53,27.2,60.68,71.6,2.1
201,isangel,75,VU,1586914689,70,-19.55,169.27,84.2,9.06
202,itarema,100,BR,1586914673,83,-2.92,-39.92,75.87,2.95
203,itoman,75,JP,1586914635,56,26.12,127.67,68.0,4.7
204,ixtapa,5,MX,1586914676,73,20.7,-105.2,73.4,6.93
205,jamestown,90,US,1586914612,92,42.1,-79.24,36.0,17.22
206,japura,92,ID,1586914714,64,-0.32,102.35,87.13,3.2
207,kaabong,94,UG,1586914679,61,3.48,34.15,64.85,3.31
208,kabinda,100,CD,1586914716,74,-6.13,24.48,69.73,1.7
209,kaeo,74,NZ,1586914685,69,-35.1,173.78,64.0,10.0
210,kahului,40,US,1586914679,65,20.89,-156.47,80.6,6.93
211,kaifeng,0,CN,1586914680,52,34.79,114.35,66.2,4.47
212,kaitangata,100,NZ,1586914691,69,-46.28,169.85,52.0,8.99
213,kalemie,100,CD,1586914719,66,-5.95,29.19,72.21,4.99
214,kanigoro,69,ID,1586914695,62,-8.13,112.22,85.44,1.59
215,kapaa,75,US,1586914655,83,22.08,-159.32,80.6,16.11
216,karaton,20,ID,1586914672,78,-6.34,106.1,82.4,5.82
217,kargasok,100,RU,1586914682,94,59.06,80.86,35.73,8.79
218,karlskrona,100,SE,1586914664,81,56.16,15.59,42.8,12.75
219,karmala,3,IN,1586914660,18,18.42,75.2,89.13,1.01
220,karratha,21,AU,1586914698,44,-20.74,116.85,89.91,3.22
221,kashiwazaki,50,JP,1586914593,44,37.37,138.55,57.99,1.01
222,katobu,71,ID,1586914709,57,-4.94,122.53,89.6,2.91
223,katsuura,40,JP,1586914662,58,35.13,140.3,64.0,5.82
224,kattivakkam,20,IN,1586914676,88,13.22,80.32,82.0,10.18
225,kavieng,55,PG,1586914654,74,-2.57,150.8,83.25,6.76
226,kavieng,55,PG,1586914654,74,-2.57,150.8,83.25,6.76
227,kendari,88,ID,1586914693,55,-3.94,122.5,91.33,1.39
228,khandyga,100,RU,1586914659,97,62.67,135.6,29.95,5.59
229,khatanga,53,RU,1586914667,90,71.97,102.5,3.47,4.16
230,khawhai,0,IN,1586914672,21,23.37,93.12,85.24,1.57
231,khvorostyanka,22,RU,1586914675,66,52.61,48.96,42.91,10.47
