City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
138,dodoma,75,TZ,1587216321,83,-6.17,35.74,75.2,6.93
139,dunedin,56,NZ,1587216320,89,-45.87,170.5,51.01,9.53
140,dutlwe,3,BW,1587216337,17,-23.98,23.9,88.0,12.95
141,dzerzhinskoye,94,RU,1587216292,64,56.83,95.23,41.0,6.15
142,east london,16,ZA,1587215993,78,-33.02,27.91,75.2,11.41
143,east massapequa,90,US,1587216063,87,40.67,-73.44,46.99,4.7
144,egvekinot,97,RU,1587216316,88,66.32,-179.17,7.3,21.05
145,el dorado,90,US,1587216308,93,33.21,-92.67,46.4,8.05
146,esperance,75,AU,1587216186,100,-33.87,121.9,62.6,9.17
147,eureka,38,US,1587216309,93,40.8,-124.16,51.01,3.98
148,eyemouth,33,GB,1587216311,68,55.87,-2.09,54.0,5.99
149,eyl,49,SO,1587216292,62,7.98,49.82,86.59,11.97
150,faanui,100,PF,1587216188,64,-16.48,-151.75,82.76,4.43
151,fairbanks,90,US,1587216300,100,64.84,-147.72,39.0,4.7
152,filadelfia,90,US,1587216183,87,39.95,-75.16,46.4,8.05
153,flinders,34,AU,1587215998,84,-34.58,150.86,54.0,3.83
154,forestville,90,US,1587216304,93,38.85,-76.88,51.01,4.7
155,fort nelson,20,CA,1587216200,86,58.81,-122.7,30.2,5.82
156,fortuna,90,US,1587216159,93,40.6,-124.16,51.01,4.38
157,foxton,3,NZ,1587216344,88,-40.47,175.3,55.99,17.96
158,gainesville,75,US,1587216041,94,29.65,-82.32,72.0,4.7
159,gamba,43,GA,1587216010,71,-2.65,10.0,85.06,10.13
160,gari,71,RU,1587216158,64,59.43,62.35,47.32,13.2
161,gazli,34,UZ,1587216306,16,40.13,63.45,79.07,3.47
162,general roca,76,AR,1587216058,67,-39.03,-67.58,60.8,3.18
163,george town,20,MY,1587216068,88,5.41,100.34,86.0,5.82
164,georgetown,20,MY,1587216068,88,5.41,100.34,86.0,5.82
165,geraldton,40,AU,1587216184,73,-28.77,114.6,73.4,10.29
166,ghanzi,58,BW,1587216328,21,-21.57,21.78,86.16,10.27
167,gimli,99,CA,1587216106,83,50.63,-96.99,37.99,8.01
168,gizo,92,SB,1587215990,74,-8.1,156.84,81.81,2.95
169,goure,32,NE,1587216311,5,13.98,10.27,102.99,8.99
170,gouyave,40,GD,1587216303,70,12.16,-61.73,84.2,16.11
171,grand baie,75,MU,1587216349,74,-20.02,57.58,80.6,14.99
172,grand gaube,75,MU,1587215992,74,-20.01,57.66,80.6,14.99
173,grenville,40,GD,1587216293,70,12.12,-61.62,84.2,16.11
174,griffith,1,US,1587216337,80,41.53,-87.42,37.99,8.05
175,grindavik,90,IS,1587216144,100,63.84,-22.43,46.4,20.8
176,guanica,31,PR,1587216317,79,17.97,-66.91,81.0,3.0
177,guaruja,38,BR,1587216336,73,-23.99,-46.26,71.8,4.34
178,guerrero negro,1,MX,1587215956,80,27.98,-114.06,57.65,12.17
179,haapiti,20,PF,1587215991,78,-17.57,-149.87,78.8,3.36
180,hambantota,40,LK,1587216150,79,6.12,81.12,86.0,3.36
181,hami,49,CN,1587216144,15,42.8,93.45,73.98,4.83
182,hamilton,20,US,1587216314,69,39.18,-84.53,39.2,8.05
183,hasaki,20,JP,1587215956,81,35.73,140.83,54.0,2.24
184,hato mayor,40,DO,1587216310,74,18.76,-69.26,80.6,6.93
185,havoysund,75,NO,1587216125,69,71.0,24.66,37.4,8.05
186,henties bay,37,NA,1587216007,87,-22.12,14.28,60.01,7.0
187,hermanus,9,ZA,1587216179,28,-34.42,19.23,88.0,1.01
188,hilo,90,US,1587216146,83,19.73,-155.09,69.8,4.7
189,hirado,13,JP,1587216290,76,33.36,129.55,55.4,9.17
190,hithadhoo,80,MV,1587216181,71,-0.6,73.08,84.58,12.88
191,hlotse,0,LS,1587216330,15,-28.87,28.05,71.89,4.74
192,hobart,75,AU,1587216016,81,-42.88,147.33,48.0,3.36
193,hobyo,84,SO,1587216307,59,5.35,48.53,88.57,13.09
194,hof,99,DE,1587216317,45,50.32,11.92,69.01,8.05
195,hofn,94,IS,1587216156,84,64.25,-15.21,43.56,12.82
196,hualmay,70,PE,1587215996,81,-11.1,-77.61,69.6,4.88
197,huilong,100,CN,1587216313,83,31.81,121.66,53.85,13.0
198,husavik,40,IS,1587216294,57,66.04,-17.34,50.0,35.57
199,ialibu,100,PG,1587216185,55,-6.28,143.99,58.62,1.43
200,ilulissat,90,GL,1587216170,85,69.22,-51.1,24.8,13.87
201,imbituba,40,BR,1587215998,64,-28.24,-48.67,71.6,2.24
202,inhambane,40,MZ,1587216185,65,-23.86,35.38,82.4,9.17
203,inongo,95,CD,1587216336,55,-1.95,18.27,87.53,2.48
204,inyonga,94,TZ,1587216343,56,-6.72,32.07,76.5,6.35
205,iqaluit,40,CA,1587216052,70,63.75,-68.51,1.4,3.36
206,isangel,20,VU,1587216183,88,-19.55,169.27,77.0,10.0
